"country","year","debt","di","expenditure","savings","wealth","unemployment"
"Japan",2012,102.6007,1.19158827506408,2.02896090162998,2.70594072018075,560.9572,4.35
"Japan",2013,104.2863,0.174020259897915,2.36859936678024,0.302480806364564,581.7238,4.025
"Japan",2014,105.1135,-1.19161302329244,-0.857145628463643,-0.347138274460942,610.2437,3.591667
"Japan",2015,104.7314,1.44829871368771,-0.032352961021261,0.815379529172819,595.6404,3.375
"Japan",2016,105.6345,1.76903091347385,0.060407239284549,2.56036061856534,601.5709,3.116667
"USA",1995,94.30469,3.00324349509484,2.95050350705247,7.23519825547431,472.3219,5.608333
"USA",1996,96.22101,2.8573259400754,3.46995147940005,6.79362010393128,484.8396,5.416667
"USA",1997,97.3432,3.46323157580432,3.76551471441737,6.58466165319367,510.1932,4.95
"USA",1998,98.52856,5.66410762663076,5.31108847474339,7.06113661640694,527.0515,4.508333
"USA",1999,102.6665,3.19602975180131,5.2673542544655,5.2704817606823,562.7451,4.216667
"USA",2000,104.0255,4.68740745196537,5.08161942867008,5.03182012719838,520.5486,3.991667
"USA",2001,107.6555,2.8197533624686,2.51887230787315,5.25151127840679,498.9384,4.733333
"USA",2002,112.7325,3.29485559244234,2.56878770920026,6.06032434584051,461.2379,5.775
"USA",2003,120.8447,2.7910161051924,3.17765301464271,5.7538693911771,492.1533,5.991667
"USA",2004,127.6022,3.27710968914074,3.75190775874498,5.34512126131198,525.1831,5.533333
"USA",2005,135.5618,1.34195790617973,3.56194069253066,3.2806533680427,550.452,5.066667
"USA",2006,140.6003,3.55751507512469,3.06338381823372,3.99770171052199,563.4562,4.616667
"USA",2007,143.6296,1.78401520344536,2.22250426523179,3.87844784806828,560.5231,4.616667
"USA",2008,136.8698,1.74021046973852,-0.212023274987603,5.17932301637567,479.23,5.775
"USA",2009,135.873,-0.051615034356098,-1.25430986996213,6.34236647745621,499.8712,9.266666
"USA",2010,128.4593,1.01022490089366,1.74962260886025,6.78029191856323,520.1271,9.616667
"USA",2011,121.0286,2.22803993556885,1.88716881925927,7.39578927660217,502.9803,8.95
"USA",2012,114.9222,2.95932771947087,1.50300202944882,9.14273850027293,514.4276,8.066667
"USA",2013,115.9627,-1.47007704843741,1.45406291048436,6.6126859314405,592.3568,7.375
"USA",2014,112.0531,3.41817819657439,2.93252534732234,7.58394202760525,596.4713,6.166667
"USA",2015,109.0507,4.07233289727601,3.71961621776857,7.82833208809945,588.1454,5.291667
"USA",2016,109.3767,1.63047460813639,2.73741313867046,6.91356554155118,609.2657,4.866667
