item,ds,y
20724,2011-01-20,2
20724,2011-01-21,42
20724,2011-01-24,23
20724,2011-01-25,47
20724,2011-01-26,20
20724,2011-01-27,10
20724,2011-01-28,42
20724,2011-01-31,24
20724,2011-02-01,70
20724,2011-02-02,1
20724,2011-02-03,60
20724,2011-02-04,36
20724,2011-02-06,120
20724,2011-02-07,1
20724,2011-02-08,71
20724,2011-02-09,107
20724,2011-02-11,28
20724,2011-02-13,10
20724,2011-02-14,16
20724,2011-02-15,2
20724,2011-02-16,31
20724,2011-02-17,37
20724,2011-02-18,11
20724,2011-02-20,100
20724,2011-02-21,210
20724,2011-02-22,10
20724,2011-02-23,42
20724,2011-02-24,31
20724,2011-02-25,33
20724,2011-02-27,100
20724,2011-02-28,50
20724,2011-03-01,100
20724,2011-03-02,20
20724,2011-03-03,15
20724,2011-03-04,22
20724,2011-03-06,17
20724,2011-03-07,81
20724,2011-03-08,49
20724,2011-03-09,26
20724,2011-03-10,113
20724,2011-03-11,55
20724,2011-03-13,2
20724,2011-03-14,5
20724,2011-03-15,65
20724,2011-03-17,76
20724,2011-03-18,36
20724,2011-03-21,36
20724,2011-03-22,148
20724,2011-03-23,120
20724,2011-03-24,10
20724,2011-03-25,50
20724,2011-03-28,36
20724,2011-03-29,378
20724,2011-03-30,20
20724,2011-03-31,58
20724,2011-04-01,10
20724,2011-04-04,33
20724,2011-04-05,3
20724,2011-04-06,62
20724,2011-04-07,26
20724,2011-04-08,41
20724,2011-04-10,13
20724,2011-04-11,58
20724,2011-04-12,10
20724,2011-04-13,10
20724,2011-04-14,108
20724,2011-04-15,83
20724,2011-04-17,2
20724,2011-04-18,41
20724,2011-04-19,30
20724,2011-04-20,62
20724,2011-04-21,61
20724,2011-04-26,36
20724,2011-04-27,77
20724,2011-04-28,112
20724,2011-05-03,88
20724,2011-05-04,12
20724,2011-05-05,51
20724,2011-05-06,15
20724,2011-05-08,5
20724,2011-05-09,122
20724,2011-05-10,115
20724,2011-05-11,1
20724,2011-05-12,320
20724,2011-05-13,52
20724,2011-05-16,52
20724,2011-05-17,54
20724,2011-05-18,20
20724,2011-05-19,12
20724,2011-05-20,31
20724,2011-05-22,33
20724,2011-05-23,24
20724,2011-05-24,10
20724,2011-05-25,16
20724,2011-05-26,26
20724,2011-05-27,93
20724,2011-05-29,17
20724,2011-05-31,61
20724,2011-06-01,114
20724,2011-06-03,22
20724,2011-06-05,47
20724,2011-06-07,152
20724,2011-06-08,84
20724,2011-06-09,11
20724,2011-06-10,151
20724,2011-06-12,156
20724,2011-06-14,37
20724,2011-06-15,20
20724,2011-06-16,42
20724,2011-06-17,58
20724,2011-06-19,2
20724,2011-06-20,28
20724,2011-06-21,54
20724,2011-06-22,20
20724,2011-06-23,28
20724,2011-06-24,222
20724,2011-06-26,6
20724,2011-06-27,9
20724,2011-06-28,383
20724,2011-06-29,112
20724,2011-06-30,14
20724,2011-07-01,60
20724,2011-07-03,20
20724,2011-07-04,16
20724,2011-07-05,105
20724,2011-07-06,23
20724,2011-07-07,26
20724,2011-07-08,74
20724,2011-07-10,1
20724,2011-07-11,11
20724,2011-07-12,51
20724,2011-07-13,45
20724,2011-07-14,26
20724,2011-07-15,1
20724,2011-07-17,2
20724,2011-07-18,6
20724,2011-07-19,27
20724,2011-07-20,126
20724,2011-07-22,49
20724,2011-07-24,131
20724,2011-07-25,122
20724,2011-07-26,51
20724,2011-07-27,52
20724,2011-07-28,17
20724,2011-07-29,30
20724,2011-07-31,14
20724,2011-08-01,10
20724,2011-08-02,149
20724,2011-08-03,2
20724,2011-08-04,278
20724,2011-08-05,40
20724,2011-08-07,26
20724,2011-08-08,40
20724,2011-08-09,231
20724,2011-08-10,134
20724,2011-08-11,10
20724,2011-08-14,10
20724,2011-08-15,20
20724,2011-08-16,58
20724,2011-08-17,3
20724,2011-08-18,210
20724,2011-08-19,40
20724,2011-08-22,40
20724,2011-08-23,16
20724,2011-08-24,224
20724,2011-08-25,35
20724,2011-08-26,247
20724,2011-08-30,27
20724,2011-08-31,12
20724,2011-09-01,6
20724,2011-09-02,60
20724,2011-09-04,15
20724,2011-09-05,51
20724,2011-09-06,47
20724,2011-09-07,120
20724,2011-09-08,52
20724,2011-09-09,104
20724,2011-09-11,206
20724,2011-09-12,40
20724,2011-09-13,66
20724,2011-09-14,106
20724,2011-09-15,65
20724,2011-09-16,48
20724,2011-09-18,30
20724,2011-09-19,125
20724,2011-09-20,75
20724,2011-09-21,117
20724,2011-09-22,150
20724,2011-09-23,127
20724,2011-09-25,20
20724,2011-09-26,30
20724,2011-09-27,63
20724,2011-09-28,48
20724,2011-09-29,66
20724,2011-09-30,2
20724,2011-10-02,27
20724,2011-10-03,34
20724,2011-10-04,108
20724,2011-10-05,43
20724,2011-10-06,73
20724,2011-10-07,74
20724,2011-10-10,28
20724,2011-10-11,93
20724,2011-10-12,49
20724,2011-10-13,72
20724,2011-10-14,68
20724,2011-10-16,3
20724,2011-10-17,54
20724,2011-10-18,71
20724,2011-10-19,36
20724,2011-10-20,224
20724,2011-10-21,56
20724,2011-10-23,6
20724,2011-10-24,218
20724,2011-10-25,55
20724,2011-10-26,13
20724,2011-10-27,15
20724,2011-10-28,71
20724,2011-10-30,44
20724,2011-10-31,82
20724,2011-11-01,30
20724,2011-11-02,22
20724,2011-11-03,2
20724,2011-11-04,94
20724,2011-11-06,30
20724,2011-11-08,122
20724,2011-11-09,223
20724,2011-11-10,31
20724,2011-11-11,111
20724,2011-11-13,65
20724,2011-11-14,42
20724,2011-11-15,108
20724,2011-11-16,52
20724,2011-11-17,62
20724,2011-11-18,161
20724,2011-11-20,30
20724,2011-11-21,12
20724,2011-11-22,228
20724,2011-11-23,213
20724,2011-11-24,63
20724,2011-11-25,149
20724,2011-11-27,70
20724,2011-11-28,64
20724,2011-11-29,124
20724,2011-11-30,101
20724,2011-12-01,29
20724,2011-12-02,109
20724,2011-12-04,123
20724,2011-12-05,37
20724,2011-12-06,117
20724,2011-12-07,230
20724,2011-12-08,133
20724,2011-12-09,69
20725,2010-12-01,78
20725,2010-12-02,11
20725,2010-12-03,93
20725,2010-12-05,36
20725,2010-12-06,34
20725,2010-12-07,33
20725,2010-12-08,117
20725,2010-12-09,34
20725,2010-12-10,47
20725,2010-12-12,18
20725,2010-12-13,24
20725,2010-12-14,36
20725,2010-12-15,59
20725,2010-12-16,51
20725,2010-12-17,15
20725,2010-12-19,2
20725,2010-12-20,12
20725,2010-12-21,21
20725,2010-12-22,10
20725,2010-12-23,1
20725,2011-01-04,20
20725,2011-01-05,100
20725,2011-01-06,294
20725,2011-01-07,25
20725,2011-01-09,23
20725,2011-01-10,30
20725,2011-01-11,21
20725,2011-01-12,4
20725,2011-01-13,134
20725,2011-01-14,341
20725,2011-01-16,112
20725,2011-01-17,6
20725,2011-01-18,5
20725,2011-01-19,102
20725,2011-01-20,15
20725,2011-01-24,33
20725,2011-01-25,38
20725,2011-01-26,38
20725,2011-01-27,42
20725,2011-01-28,20
20725,2011-01-31,185
20725,2011-02-01,129
20725,2011-02-02,35
20725,2011-02-03,16
20725,2011-02-04,52
20725,2011-02-07,22
20725,2011-02-08,24
20725,2011-02-09,140
20725,2011-02-10,14
20725,2011-02-11,42
20725,2011-02-13,13
20725,2011-02-14,46
20725,2011-02-15,21
20725,2011-02-16,60
20725,2011-02-17,53
20725,2011-02-18,107
20725,2011-02-20,4
20725,2011-02-21,111
20725,2011-02-22,25
20725,2011-02-23,23
20725,2011-02-24,31
20725,2011-02-25,177
20725,2011-02-27,2
20725,2011-02-28,11
20725,2011-03-01,102
20725,2011-03-02,10
20725,2011-03-03,26
20725,2011-03-04,20
20725,2011-03-06,6
20725,2011-03-07,1
20725,2011-03-08,65
20725,2011-03-09,21
20725,2011-03-10,36
20725,2011-03-11,25
20725,2011-03-14,152
20725,2011-03-15,13
20725,2011-03-16,4
20725,2011-03-17,42
20725,2011-03-18,14
20725,2011-03-20,53
20725,2011-03-21,75
20725,2011-03-22,43
20725,2011-03-23,21
20725,2011-03-24,35
20725,2011-03-25,205
20725,2011-03-28,76
20725,2011-03-29,206
20725,2011-03-30,157
20725,2011-03-31,97
20725,2011-04-01,40
20725,2011-04-03,11
20725,2011-04-04,42
20725,2011-04-05,2
20725,2011-04-06,84
20725,2011-04-07,17
20725,2011-04-08,80
20725,2011-04-10,22
20725,2011-04-11,94
20725,2011-04-12,61
20725,2011-04-13,34
20725,2011-04-14,40
20725,2011-04-15,73
20725,2011-04-17,3
20725,2011-04-18,143
20725,2011-04-19,36
20725,2011-04-20,85
20725,2011-04-21,104
20725,2011-04-26,62
20725,2011-04-27,69
20725,2011-04-28,23
20725,2011-05-01,10
20725,2011-05-03,75
20725,2011-05-04,1
20725,2011-05-05,38
20725,2011-05-06,140
20725,2011-05-08,35
20725,2011-05-09,113
20725,2011-05-10,73
20725,2011-05-11,160
20725,2011-05-12,432
20725,2011-05-13,91
20725,2011-05-15,16
20725,2011-05-16,108
20725,2011-05-17,59
20725,2011-05-18,22
20725,2011-05-19,83
20725,2011-05-20,120
20725,2011-05-22,53
20725,2011-05-23,64
20725,2011-05-24,66
20725,2011-05-25,107
20725,2011-05-26,263
20725,2011-05-27,176
20725,2011-05-29,8
20725,2011-05-31,42
20725,2011-06-01,11
20725,2011-06-02,26
20725,2011-06-03,41
20725,2011-06-05,64
20725,2011-06-06,20
20725,2011-06-07,195
20725,2011-06-08,236
20725,2011-06-09,54
20725,2011-06-10,55
20725,2011-06-12,25
20725,2011-06-13,11
20725,2011-06-14,25
20725,2011-06-15,168
20725,2011-06-16,47
20725,2011-06-17,84
20725,2011-06-19,113
20725,2011-06-20,27
20725,2011-06-21,65
20725,2011-06-22,22
20725,2011-06-23,50
20725,2011-06-24,41
20725,2011-06-26,33
20725,2011-06-27,25
20725,2011-06-28,139
20725,2011-06-29,3
20725,2011-06-30,58
20725,2011-07-01,32
20725,2011-07-03,46
20725,2011-07-04,194
20725,2011-07-05,27
20725,2011-07-06,39
20725,2011-07-07,10
20725,2011-07-08,158
20725,2011-07-10,12
20725,2011-07-11,45
20725,2011-07-12,40
20725,2011-07-13,38
20725,2011-07-14,43
20725,2011-07-15,12
20725,2011-07-17,53
20725,2011-07-18,63
20725,2011-07-19,286
20725,2011-07-20,25
20725,2011-07-21,30
20725,2011-07-22,68
20725,2011-07-24,124
20725,2011-07-25,42
20725,2011-07-26,59
20725,2011-07-27,70
20725,2011-07-28,141
20725,2011-07-29,49
20725,2011-07-31,24
20725,2011-08-01,54
20725,2011-08-02,259
20725,2011-08-03,34
20725,2011-08-04,246
20725,2011-08-05,6
20725,2011-08-07,4
20725,2011-08-08,157
20725,2011-08-09,91
20725,2011-08-10,175
20725,2011-08-11,218
20725,2011-08-12,71
20725,2011-08-14,13
20725,2011-08-15,40
20725,2011-08-16,120
20725,2011-08-17,122
20725,2011-08-18,95
20725,2011-08-19,30
20725,2011-08-21,26
20725,2011-08-22,55
20725,2011-08-23,127
20725,2011-08-24,40
20725,2011-08-25,80
20725,2011-08-26,20
20725,2011-08-28,19
20725,2011-08-30,21
20725,2011-08-31,31
20725,2011-09-01,55
20725,2011-09-02,57
20725,2011-09-04,38
20725,2011-09-05,209
20725,2011-09-06,66
20725,2011-09-07,160
20725,2011-09-08,10
20725,2011-09-09,57
20725,2011-09-11,22
20725,2011-09-12,42
20725,2011-09-13,51
20725,2011-09-14,122
20725,2011-09-15,87
20725,2011-09-16,25
20725,2011-09-18,2
20725,2011-09-19,301
20725,2011-09-20,37
20725,2011-09-21,15
20725,2011-09-22,53
20725,2011-09-23,46
20725,2011-09-25,40
20725,2011-09-26,3
20725,2011-09-27,57
20725,2011-09-28,89
20725,2011-09-29,105
20725,2011-09-30,64
20725,2011-10-03,41
20725,2011-10-04,79
20725,2011-10-05,90
20725,2011-10-06,60
20725,2011-10-07,50
20725,2011-10-09,2
20725,2011-10-10,36
20725,2011-10-11,114
20725,2011-10-12,52
20725,2011-10-13,75
20725,2011-10-14,160
20725,2011-10-16,6
20725,2011-10-17,22
20725,2011-10-18,65
20725,2011-10-19,26
20725,2011-10-20,110
20725,2011-10-21,39
20725,2011-10-23,14
20725,2011-10-24,8
20725,2011-10-25,37
20725,2011-10-26,52
20725,2011-10-27,45
20725,2011-10-28,94
20725,2011-10-30,78
20725,2011-10-31,10
20725,2011-11-01,6
20725,2011-11-02,117
20725,2011-11-03,30
20725,2011-11-04,38
20725,2011-11-06,122
20725,2011-11-07,130
20725,2011-11-08,61
20725,2011-11-09,161
20725,2011-11-10,93
20725,2011-11-11,88
20725,2011-11-13,23
20725,2011-11-14,155
20725,2011-11-15,232
20725,2011-11-16,66
20725,2011-11-17,71
20725,2011-11-18,77
20725,2011-11-20,49
20725,2011-11-21,37
20725,2011-11-22,47
20725,2011-11-23,37
20725,2011-11-24,44
20725,2011-11-25,93
20725,2011-11-27,18
20725,2011-11-28,58
20725,2011-11-29,49
20725,2011-11-30,91
20725,2011-12-01,51
20725,2011-12-02,72
20725,2011-12-04,10
20725,2011-12-05,50
20725,2011-12-06,85
20725,2011-12-07,35
20725,2011-12-08,52
20725,2011-12-09,42
21212,2010-12-01,241
21212,2010-12-02,459
21212,2010-12-03,254
21212,2010-12-05,21
21212,2010-12-06,141
21212,2010-12-07,261
21212,2010-12-08,134
21212,2010-12-09,77
21212,2010-12-10,486
21212,2010-12-12,5
21212,2010-12-13,33
21212,2010-12-14,188
21212,2010-12-15,194
21212,2010-12-17,249
21212,2010-12-20,991
21212,2010-12-21,300
21212,2010-12-22,24
21212,2010-12-23,48
21212,2011-01-04,25
21212,2011-01-05,24
21212,2011-01-06,80
21212,2011-01-07,171
21212,2011-01-09,24
21212,2011-01-10,28
21212,2011-01-11,169
21212,2011-01-12,179
21212,2011-01-13,73
21212,2011-01-14,170
21212,2011-01-17,2
21212,2011-01-18,73
21212,2011-01-19,1540
21212,2011-01-20,1
21212,2011-01-21,129
21212,2011-01-23,8
21212,2011-01-24,170
21212,2011-01-25,151
21212,2011-01-26,169
21212,2011-01-27,47
21212,2011-01-28,16
21212,2011-01-30,4
21212,2011-01-31,158
21212,2011-02-01,148
21212,2011-02-02,2
21212,2011-02-03,160
21212,2011-02-04,90
21212,2011-02-07,50
21212,2011-02-08,58
21212,2011-02-09,53
21212,2011-02-10,26
21212,2011-02-11,134
21212,2011-02-13,26
21212,2011-02-14,102
21212,2011-02-15,144
21212,2011-02-16,27
21212,2011-02-17,43
21212,2011-02-18,197
21212,2011-02-20,13
21212,2011-02-21,47
21212,2011-02-22,339
21212,2011-02-23,82
21212,2011-02-24,74
21212,2011-02-25,76
21212,2011-02-27,100
21212,2011-02-28,104
21212,2011-03-01,120
21212,2011-03-02,121
21212,2011-03-03,25
21212,2011-03-04,199
21212,2011-03-06,120
21212,2011-03-07,86
21212,2011-03-08,229
21212,2011-03-09,97
21212,2011-03-10,336
21212,2011-03-11,64
21212,2011-03-13,2
21212,2011-03-14,555
21212,2011-03-15,100
21212,2011-03-16,360
21212,2011-03-17,27
21212,2011-03-18,35
21212,2011-03-20,226
21212,2011-03-21,53
21212,2011-03-22,59
21212,2011-03-23,125
21212,2011-03-24,211
21212,2011-03-25,51
21212,2011-03-27,28
21212,2011-03-28,50
21212,2011-03-29,524
21212,2011-03-30,78
21212,2011-03-31,94
21212,2011-04-01,30
21212,2011-04-03,9
21212,2011-04-04,295
21212,2011-04-05,98
21212,2011-04-06,162
21212,2011-04-07,13
21212,2011-04-08,76
21212,2011-04-10,25
21212,2011-04-11,131
21212,2011-04-12,86
21212,2011-04-13,24
21212,2011-04-14,240
21212,2011-04-15,65
21212,2011-04-17,54
21212,2011-04-18,208
21212,2011-04-19,79
21212,2011-04-20,1108
21212,2011-04-21,26
21212,2011-04-26,139
21212,2011-04-27,53
21212,2011-04-28,99
21212,2011-05-01,24
21212,2011-05-03,116
21212,2011-05-04,56
21212,2011-05-05,146
21212,2011-05-06,392
21212,2011-05-08,78
21212,2011-05-09,105
21212,2011-05-10,97
21212,2011-05-11,52
21212,2011-05-12,1236
21212,2011-05-13,128
21212,2011-05-15,29
21212,2011-05-16,129
21212,2011-05-17,38
21212,2011-05-18,217
21212,2011-05-19,50
21212,2011-05-20,29
21212,2011-05-22,136
21212,2011-05-23,63
21212,2011-05-24,98
21212,2011-05-25,27
21212,2011-05-26,24
21212,2011-05-27,136
21212,2011-05-29,12
21212,2011-05-31,47
21212,2011-06-01,25
21212,2011-06-02,78
21212,2011-06-03,3
21212,2011-06-05,76
21212,2011-06-06,48
21212,2011-06-07,173
21212,2011-06-08,124
21212,2011-06-09,78
21212,2011-06-10,160
21212,2011-06-12,36
21212,2011-06-13,1
21212,2011-06-14,38
21212,2011-06-15,409
21212,2011-06-16,122
21212,2011-06-17,139
21212,2011-06-19,147
21212,2011-06-20,57
21212,2011-06-21,36
21212,2011-06-22,26
21212,2011-06-23,59
21212,2011-06-26,3
21212,2011-06-27,36
21212,2011-06-28,53
21212,2011-06-29,7
21212,2011-06-30,2
21212,2011-07-01,24
21212,2011-07-03,1
21212,2011-07-04,97
21212,2011-07-05,378
21212,2011-07-06,32
21212,2011-07-07,564
21212,2011-07-08,35
21212,2011-07-10,6
21212,2011-07-11,27
21212,2011-07-12,73
21212,2011-07-13,29
21212,2011-07-14,27
21212,2011-07-15,73
21212,2011-07-17,24
21212,2011-07-18,66
21212,2011-07-19,112
21212,2011-07-20,95
21212,2011-07-21,1
21212,2011-07-22,33
21212,2011-07-24,28
21212,2011-07-25,195
21212,2011-07-26,184
21212,2011-07-27,48
21212,2011-07-28,50
21212,2011-07-29,72
21212,2011-07-31,534
21212,2011-08-01,24
21212,2011-08-02,40
21212,2011-08-03,127
21212,2011-08-04,198
21212,2011-08-05,30
21212,2011-08-07,26
