ds,meter,y
2007-03-13,sub_metering_1,1350.0
2007-03-14,sub_metering_1,3485.0
2007-03-15,sub_metering_1,0.0
2007-03-16,sub_metering_1,1106.0
2007-03-17,sub_metering_1,2208.0
2007-03-18,sub_metering_1,6564.0
2007-03-19,sub_metering_1,1648.0
2007-03-20,sub_metering_1,3745.0
2007-03-21,sub_metering_1,1865.0
2007-03-22,sub_metering_1,353.0
2007-03-23,sub_metering_1,1127.0
2007-03-24,sub_metering_1,3707.0
2007-03-25,sub_metering_1,4630.0
2007-03-26,sub_metering_1,1088.0
2007-03-27,sub_metering_1,0.0
2007-03-28,sub_metering_1,1122.0
2007-03-29,sub_metering_1,1162.0
2007-03-30,sub_metering_1,1094.0
2007-03-31,sub_metering_1,2620.0
2007-04-01,sub_metering_1,4629.0
2007-04-02,sub_metering_1,1755.0
2007-04-03,sub_metering_1,3630.0
2007-04-04,sub_metering_1,3434.0
2007-04-05,sub_metering_1,1086.0
2007-04-06,sub_metering_1,0.0
2007-04-07,sub_metering_1,1127.0
2007-04-08,sub_metering_1,0.0
2007-04-09,sub_metering_1,2667.0
2007-04-10,sub_metering_1,209.0
2007-04-11,sub_metering_1,0.0
2007-04-12,sub_metering_1,0.0
2007-04-13,sub_metering_1,0.0
2007-04-14,sub_metering_1,0.0
2007-04-15,sub_metering_1,0.0
2007-04-16,sub_metering_1,952.0
2007-04-17,sub_metering_1,1532.0
2007-04-18,sub_metering_1,1579.0
2007-04-19,sub_metering_1,733.0
2007-04-20,sub_metering_1,1069.0
2007-04-21,sub_metering_1,6575.0
2007-04-22,sub_metering_1,4264.0
2007-04-23,sub_metering_1,1402.0
2007-04-24,sub_metering_1,1125.0
2007-04-25,sub_metering_1,0.0
2007-04-26,sub_metering_1,1324.0
2007-04-27,sub_metering_1,1772.0
2007-04-28,sub_metering_1,0.0
2007-04-29,sub_metering_1,0.0
2007-04-30,sub_metering_1,1214.0
2007-05-01,sub_metering_1,4005.0
2007-05-02,sub_metering_1,7.0
2007-05-03,sub_metering_1,1906.0
2007-05-04,sub_metering_1,2259.0
2007-05-05,sub_metering_1,2913.0
2007-05-06,sub_metering_1,3215.0
2007-05-07,sub_metering_1,946.0
2007-05-08,sub_metering_1,4581.0
2007-05-09,sub_metering_1,3018.0
2007-05-10,sub_metering_1,946.0
2007-05-11,sub_metering_1,926.0
2007-05-12,sub_metering_1,2247.0
2007-05-13,sub_metering_1,3612.0
2007-05-14,sub_metering_1,3176.0
2007-05-15,sub_metering_1,0.0
2007-05-16,sub_metering_1,2213.0
2007-05-17,sub_metering_1,1014.0
2007-05-18,sub_metering_1,3270.0
2007-05-19,sub_metering_1,4683.0
2007-05-20,sub_metering_1,5420.0
2007-05-21,sub_metering_1,0.0
2007-05-22,sub_metering_1,931.0
2007-05-23,sub_metering_1,956.0
2007-05-24,sub_metering_1,955.0
2007-05-25,sub_metering_1,8060.0
2007-05-26,sub_metering_1,2373.0
2007-05-27,sub_metering_1,4366.0
2007-05-28,sub_metering_1,4554.0
2007-05-29,sub_metering_1,0.0
2007-05-30,sub_metering_1,2250.0
2007-05-31,sub_metering_1,935.0
2007-06-01,sub_metering_1,0.0
2007-06-02,sub_metering_1,3971.0
2007-06-03,sub_metering_1,4985.0
2007-06-04,sub_metering_1,1585.0
2007-06-05,sub_metering_1,4484.0
2007-06-06,sub_metering_1,3329.0
2007-06-07,sub_metering_1,985.0
2007-06-08,sub_metering_1,2799.0
2007-06-09,sub_metering_1,852.0
2007-06-10,sub_metering_1,4202.0
2007-06-11,sub_metering_1,0.0
2007-06-12,sub_metering_1,1882.0
2007-06-13,sub_metering_1,957.0
2007-06-14,sub_metering_1,3322.0
2007-06-15,sub_metering_1,2269.0
2007-06-16,sub_metering_1,3289.0
2007-06-17,sub_metering_1,4124.0
2007-06-18,sub_metering_1,0.0
2007-06-19,sub_metering_1,973.0
2007-06-20,sub_metering_1,1761.0
2007-06-21,sub_metering_1,932.0
2007-06-22,sub_metering_1,0.0
2007-06-23,sub_metering_1,0.0
2007-06-24,sub_metering_1,0.0
2007-06-25,sub_metering_1,1985.0
2007-06-26,sub_metering_1,971.0
2007-06-27,sub_metering_1,2603.0
2007-06-28,sub_metering_1,0.0
2007-06-29,sub_metering_1,4363.0
2007-06-30,sub_metering_1,3049.0
2007-07-01,sub_metering_1,969.0
2007-07-02,sub_metering_1,1018.0
2007-07-03,sub_metering_1,467.0
2007-07-04,sub_metering_1,2329.0
2007-07-05,sub_metering_1,2922.0
2007-07-06,sub_metering_1,2826.0
2007-07-07,sub_metering_1,997.0
2007-07-08,sub_metering_1,1825.0
2007-07-09,sub_metering_1,923.0
2007-07-10,sub_metering_1,67.0
2007-07-11,sub_metering_1,1015.0
2007-07-12,sub_metering_1,1029.0
2007-07-13,sub_metering_1,0.0
2007-07-14,sub_metering_1,3775.0
2007-07-15,sub_metering_1,862.0
2007-07-16,sub_metering_1,830.0
2007-07-17,sub_metering_1,848.0
2007-07-18,sub_metering_1,909.0
2007-07-19,sub_metering_1,1068.0
2007-07-20,sub_metering_1,2111.0
2007-07-21,sub_metering_1,428.0
2007-07-22,sub_metering_1,7091.0
2007-07-23,sub_metering_1,1747.0
2007-07-24,sub_metering_1,0.0
2007-07-25,sub_metering_1,0.0
2007-07-26,sub_metering_1,975.0
2007-07-27,sub_metering_1,1837.0
2007-07-28,sub_metering_1,907.0
2007-07-29,sub_metering_1,0.0
2007-07-30,sub_metering_1,0.0
2007-07-31,sub_metering_1,3277.0
2007-08-01,sub_metering_1,1583.0
2007-08-02,sub_metering_1,482.0
2007-08-03,sub_metering_1,958.0
2007-08-04,sub_metering_1,552.0
2007-08-05,sub_metering_1,169.0
2007-08-06,sub_metering_1,1096.0
2007-08-07,sub_metering_1,437.0
2007-08-08,sub_metering_1,1055.0
2007-08-09,sub_metering_1,182.0
2007-08-10,sub_metering_1,336.0
2007-08-11,sub_metering_1,1180.0
2007-08-12,sub_metering_1,1123.0
2007-08-13,sub_metering_1,93.0
2007-08-14,sub_metering_1,951.0
2007-08-15,sub_metering_1,338.0
2007-08-16,sub_metering_1,962.0
2007-08-17,sub_metering_1,244.0
2007-08-18,sub_metering_1,0.0
2007-08-19,sub_metering_1,1025.0
2007-08-20,sub_metering_1,1032.0
2007-08-21,sub_metering_1,0.0
2007-08-22,sub_metering_1,3048.0
2007-08-23,sub_metering_1,2502.0
2007-08-24,sub_metering_1,1891.0
2007-08-25,sub_metering_1,4149.0
2007-08-26,sub_metering_1,1541.0
2007-08-27,sub_metering_1,2305.0
2007-08-28,sub_metering_1,1038.0
2007-08-29,sub_metering_1,957.0
2007-08-30,sub_metering_1,3822.0
2007-08-31,sub_metering_1,1200.0
2007-09-01,sub_metering_1,2497.0
2007-09-02,sub_metering_1,3613.0
2007-09-03,sub_metering_1,621.0
2007-09-04,sub_metering_1,2928.0
2007-09-05,sub_metering_1,0.0
2007-09-06,sub_metering_1,0.0
2007-09-07,sub_metering_1,3632.0
2007-09-08,sub_metering_1,3339.0
2007-09-09,sub_metering_1,2184.0
2007-09-10,sub_metering_1,935.0
2007-09-11,sub_metering_1,943.0
2007-09-12,sub_metering_1,0.0
2007-09-13,sub_metering_1,1175.0
2007-09-14,sub_metering_1,901.0
2007-09-15,sub_metering_1,0.0
2007-09-16,sub_metering_1,3118.0
2007-09-17,sub_metering_1,6651.0
2007-09-18,sub_metering_1,1888.0
2007-09-19,sub_metering_1,0.0
2007-09-20,sub_metering_1,1056.0
2007-09-21,sub_metering_1,3130.0
2007-09-22,sub_metering_1,944.0
2007-09-23,sub_metering_1,2831.0
2007-09-24,sub_metering_1,929.0
2007-09-25,sub_metering_1,916.0
2007-09-26,sub_metering_1,1058.0
2007-09-27,sub_metering_1,1066.0
2007-09-28,sub_metering_1,996.0
2007-09-29,sub_metering_1,4085.0
2007-09-30,sub_metering_1,1405.0
2007-10-01,sub_metering_1,1507.0
2007-10-02,sub_metering_1,508.0
2007-10-03,sub_metering_1,979.0
2007-10-04,sub_metering_1,2400.0
2007-10-05,sub_metering_1,0.0
2007-10-06,sub_metering_1,4840.0
2007-10-07,sub_metering_1,2498.0
2007-10-08,sub_metering_1,0.0
2007-10-09,sub_metering_1,2034.0
2007-10-10,sub_metering_1,1863.0
2007-10-11,sub_metering_1,2630.0
2007-10-12,sub_metering_1,1020.0
2007-10-13,sub_metering_1,969.0
2007-10-14,sub_metering_1,2930.0
2007-10-15,sub_metering_1,1061.0
2007-10-16,sub_metering_1,0.0
2007-10-17,sub_metering_1,1065.0
2007-10-18,sub_metering_1,1162.0
2007-10-19,sub_metering_1,1299.0
2007-10-20,sub_metering_1,2363.0
2007-10-21,sub_metering_1,3712.0
2007-10-22,sub_metering_1,0.0
2007-10-23,sub_metering_1,1067.0
2007-10-24,sub_metering_1,4459.0
2007-10-25,sub_metering_1,1478.0
2007-10-26,sub_metering_1,0.0
2007-10-27,sub_metering_1,1374.0
2007-10-28,sub_metering_1,0.0
2007-10-29,sub_metering_1,0.0
2007-10-30,sub_metering_1,0.0
2007-10-31,sub_metering_1,0.0
2007-11-01,sub_metering_1,0.0
2007-11-02,sub_metering_1,1346.0
2007-11-03,sub_metering_1,0.0
2007-11-04,sub_metering_1,0.0
2007-11-05,sub_metering_1,1265.0
2007-11-06,sub_metering_1,1105.0
2007-11-07,sub_metering_1,5042.0
2007-11-08,sub_metering_1,1715.0
2007-11-09,sub_metering_1,0.0
2007-11-10,sub_metering_1,3697.0
2007-11-11,sub_metering_1,3445.0
2007-11-12,sub_metering_1,1018.0
2007-11-13,sub_metering_1,978.0
2007-11-14,sub_metering_1,1055.0
2007-11-15,sub_metering_1,1606.0
2007-11-16,sub_metering_1,1991.0
2007-11-17,sub_metering_1,2588.0
2007-11-18,sub_metering_1,5201.0
2007-11-19,sub_metering_1,1089.0
2007-11-20,sub_metering_1,1015.0
2007-11-21,sub_metering_1,1139.0
2007-11-22,sub_metering_1,2867.0
2007-11-23,sub_metering_1,2168.0
2007-11-24,sub_metering_1,1573.0
2007-11-25,sub_metering_1,3556.0
2007-11-26,sub_metering_1,1088.0
2007-11-27,sub_metering_1,1063.0
2007-11-28,sub_metering_1,1182.0
2007-11-29,sub_metering_1,2031.0
2007-11-30,sub_metering_1,0.0
2007-12-01,sub_metering_1,9356.0
2007-12-02,sub_metering_1,2090.0
2007-12-03,sub_metering_1,1141.0
2007-12-04,sub_metering_1,1012.0
2007-12-05,sub_metering_1,3422.0
2007-12-06,sub_metering_1,4751.0
2007-12-07,sub_metering_1,459.0
2007-12-08,sub_metering_1,1133.0
2007-12-09,sub_metering_1,4176.0
2007-12-10,sub_metering_1,1102.0
2007-12-11,sub_metering_1,1050.0
2007-12-12,sub_metering_1,1152.0
2007-12-13,sub_metering_1,1103.0
2007-12-14,sub_metering_1,980.0
2007-12-15,sub_metering_1,1706.0
2007-12-16,sub_metering_1,3410.0
2007-12-17,sub_metering_1,1636.0
2007-12-18,sub_metering_1,1123.0
2007-12-19,sub_metering_1,1233.0
2007-12-20,sub_metering_1,1859.0
2007-12-21,sub_metering_1,1191.0
2007-12-22,sub_metering_1,3819.0
2007-12-23,sub_metering_1,1971.0
2007-12-24,sub_metering_1,2985.0
2007-12-25,sub_metering_1,4588.0
2007-12-26,sub_metering_1,1109.0
2007-12-27,sub_metering_1,4122.0
2007-12-28,sub_metering_1,1980.0
2007-12-29,sub_metering_1,4836.0
2007-12-30,sub_metering_1,3595.0
2007-12-31,sub_metering_1,0.0
2008-01-01,sub_metering_1,2461.0
2008-01-02,sub_metering_1,0.0
2008-01-03,sub_metering_1,1130.0
2008-01-04,sub_metering_1,1241.0
2008-01-05,sub_metering_1,2113.0
2008-01-06,sub_metering_1,1966.0
2008-01-07,sub_metering_1,1288.0
2008-01-08,sub_metering_1,2197.0
2008-01-09,sub_metering_1,1162.0
2008-01-10,sub_metering_1,1307.0
2008-01-11,sub_metering_1,1261.0
2008-01-12,sub_metering_1,5594.0
2008-01-13,sub_metering_1,6505.0
2008-01-14,sub_metering_1,5918.0
2008-01-15,sub_metering_1,782.0
2008-01-16,sub_metering_1,1162.0
2008-01-17,sub_metering_1,1007.0
2008-01-18,sub_metering_1,1034.0
2008-01-19,sub_metering_1,2521.0
2008-01-20,sub_metering_1,1775.0
2008-01-21,sub_metering_1,0.0
2008-01-22,sub_metering_1,4670.0
2008-01-23,sub_metering_1,1116.0
2008-01-24,sub_metering_1,1107.0
2008-01-25,sub_metering_1,0.0
2008-01-26,sub_metering_1,4925.0
2008-01-27,sub_metering_1,3725.0
2008-01-28,sub_metering_1,1142.0
2008-01-29,sub_metering_1,1487.0
2008-01-30,sub_metering_1,0.0
2008-01-31,sub_metering_1,1165.0
2008-02-01,sub_metering_1,336.0
2008-02-02,sub_metering_1,6247.0
2008-02-03,sub_metering_1,2319.0
2008-02-04,sub_metering_1,1161.0
2008-02-05,sub_metering_1,1098.0
2008-02-06,sub_metering_1,2114.0
2008-02-07,sub_metering_1,0.0
2008-02-08,sub_metering_1,940.0
2008-02-09,sub_metering_1,2050.0
2008-02-10,sub_metering_1,2562.0
2008-02-11,sub_metering_1,1018.0
2008-02-12,sub_metering_1,2009.0
2008-02-13,sub_metering_1,2530.0
2008-02-14,sub_metering_1,1300.0
2008-02-15,sub_metering_1,1109.0
2008-02-16,sub_metering_1,1076.0
2008-02-17,sub_metering_1,3182.0
2008-02-18,sub_metering_1,0.0
2008-02-19,sub_metering_1,1881.0
2008-02-20,sub_metering_1,3655.0
2008-02-21,sub_metering_1,0.0
2008-02-22,sub_metering_1,1167.0
2008-02-23,sub_metering_1,1684.0
2008-02-24,sub_metering_1,754.0
2008-02-25,sub_metering_1,0.0
2008-02-26,sub_metering_1,0.0
2008-02-27,sub_metering_1,0.0
2008-02-28,sub_metering_1,0.0
2008-02-29,sub_metering_1,0.0
2008-03-01,sub_metering_1,0.0
2008-03-02,sub_metering_1,0.0
2008-03-03,sub_metering_1,0.0
2008-03-04,sub_metering_1,1249.0
2008-03-05,sub_metering_1,1145.0
2008-03-06,sub_metering_1,1082.0
2008-03-07,sub_metering_1,1235.0
2008-03-08,sub_metering_1,6286.0
2008-03-09,sub_metering_1,2607.0
2008-03-10,sub_metering_1,2009.0
2008-03-11,sub_metering_1,1271.0
2008-03-12,sub_metering_1,1120.0
2008-03-13,sub_metering_1,3263.0
2008-03-14,sub_metering_1,980.0
2008-03-15,sub_metering_1,2550.0
2008-03-16,sub_metering_1,2394.0
2008-03-17,sub_metering_1,236.0
2008-03-18,sub_metering_1,1156.0
2008-03-19,sub_metering_1,2110.0
2008-03-20,sub_metering_1,1107.0
2008-03-21,sub_metering_1,2171.0
2008-03-22,sub_metering_1,3322.0
2008-03-23,sub_metering_1,6279.0
2008-03-24,sub_metering_1,1131.0
2008-03-25,sub_metering_1,2246.0
2008-03-26,sub_metering_1,2547.0
2008-03-27,sub_metering_1,0.0
2008-03-28,sub_metering_1,2325.0
2008-03-29,sub_metering_1,5153.0
2008-03-30,sub_metering_1,5045.0
2008-03-31,sub_metering_1,1091.0
2008-04-01,sub_metering_1,1079.0
2008-04-02,sub_metering_1,1106.0
2008-04-03,sub_metering_1,0.0
2008-04-04,sub_metering_1,2133.0
2008-04-05,sub_metering_1,2929.0
2008-04-06,sub_metering_1,1124.0
2008-04-07,sub_metering_1,2420.0
2008-04-08,sub_metering_1,2752.0
2008-04-09,sub_metering_1,0.0
2008-04-10,sub_metering_1,3261.0
2008-04-11,sub_metering_1,1802.0
2008-04-12,sub_metering_1,7076.0
2008-04-13,sub_metering_1,2554.0
2008-04-14,sub_metering_1,0.0
2008-04-15,sub_metering_1,1174.0
2008-04-16,sub_metering_1,838.0
2008-04-17,sub_metering_1,1719.0
2008-04-18,sub_metering_1,2174.0
2008-04-19,sub_metering_1,4319.0
2008-04-20,sub_metering_1,1030.0
2008-04-21,sub_metering_1,0.0
2008-04-22,sub_metering_1,971.0
2008-04-23,sub_metering_1,1380.0
2008-04-24,sub_metering_1,1263.0
2008-04-25,sub_metering_1,824.0
2008-04-26,sub_metering_1,0.0
2008-04-27,sub_metering_1,693.0
2008-04-28,sub_metering_1,0.0
2008-04-29,sub_metering_1,1402.0
2008-04-30,sub_metering_1,1057.0
2008-05-01,sub_metering_1,0.0
2008-05-02,sub_metering_1,3114.0
2008-05-03,sub_metering_1,996.0
2008-05-04,sub_metering_1,2196.0
2008-05-05,sub_metering_1,1008.0
2008-05-06,sub_metering_1,1354.0
2008-05-07,sub_metering_1,1030.0
2008-05-08,sub_metering_1,3667.0
2008-05-09,sub_metering_1,2229.0
2008-05-10,sub_metering_1,6950.0
2008-05-11,sub_metering_1,563.0
2008-05-12,sub_metering_1,2082.0
2008-05-13,sub_metering_1,823.0
2008-05-14,sub_metering_1,2467.0
2008-05-15,sub_metering_1,868.0
2008-05-16,sub_metering_1,2228.0
2008-05-17,sub_metering_1,2158.0
2008-05-18,sub_metering_1,1775.0
2008-05-19,sub_metering_1,1014.0
2008-05-20,sub_metering_1,1352.0
2008-05-21,sub_metering_1,1989.0
2008-05-22,sub_metering_1,996.0
2008-05-23,sub_metering_1,0.0
2008-05-24,sub_metering_1,1027.0
2008-05-25,sub_metering_1,4307.0
2008-05-26,sub_metering_1,985.0
2008-05-27,sub_metering_1,0.0
2008-05-28,sub_metering_1,3138.0
2008-05-29,sub_metering_1,1004.0
2008-05-30,sub_metering_1,0.0
2008-05-31,sub_metering_1,1764.0
2008-06-01,sub_metering_1,1906.0
2008-06-02,sub_metering_1,960.0
2008-06-03,sub_metering_1,2897.0
2008-06-04,sub_metering_1,1550.0
2008-06-05,sub_metering_1,1747.0
2008-06-06,sub_metering_1,1009.0
2008-06-07,sub_metering_1,2379.0
2008-06-08,sub_metering_1,2536.0
2008-06-09,sub_metering_1,1967.0
2008-06-10,sub_metering_1,907.0
2008-06-11,sub_metering_1,977.0
2008-06-12,sub_metering_1,1951.0
2008-06-13,sub_metering_1,2809.0
2008-06-14,sub_metering_1,1862.0
2008-06-15,sub_metering_1,6471.0
2008-06-16,sub_metering_1,1980.0
2008-06-17,sub_metering_1,1080.0
2008-06-18,sub_metering_1,7549.0
2008-06-19,sub_metering_1,3411.0
2008-06-20,sub_metering_1,2948.0
2008-06-21,sub_metering_1,940.0
2008-06-22,sub_metering_1,4705.0
2008-06-23,sub_metering_1,2600.0
2008-06-24,sub_metering_1,2779.0
2008-06-25,sub_metering_1,2773.0
2008-06-26,sub_metering_1,921.0
2008-06-27,sub_metering_1,4159.0
2008-06-28,sub_metering_1,0.0
2008-06-29,sub_metering_1,955.0
2008-06-30,sub_metering_1,0.0
2008-07-01,sub_metering_1,3465.0
2008-07-02,sub_metering_1,962.0
2008-07-03,sub_metering_1,958.0
2008-07-04,sub_metering_1,0.0
2008-07-05,sub_metering_1,1875.0
2008-07-06,sub_metering_1,4258.0
2008-07-07,sub_metering_1,2171.0
2008-07-08,sub_metering_1,991.0
2008-07-09,sub_metering_1,951.0
2008-07-10,sub_metering_1,982.0
2008-07-11,sub_metering_1,724.0
2008-07-12,sub_metering_1,4436.0
2008-07-13,sub_metering_1,1671.0
2008-07-14,sub_metering_1,2564.0
2008-07-15,sub_metering_1,968.0
2008-07-16,sub_metering_1,1537.0
2008-07-17,sub_metering_1,1122.0
2008-07-18,sub_metering_1,1143.0
2008-07-19,sub_metering_1,2941.0
2008-07-20,sub_metering_1,1943.0
2008-07-21,sub_metering_1,1698.0
2008-07-22,sub_metering_1,0.0
2008-07-23,sub_metering_1,1233.0
2008-07-24,sub_metering_1,837.0
2008-07-25,sub_metering_1,1168.0
2008-07-26,sub_metering_1,0.0
2008-07-27,sub_metering_1,1063.0
2008-07-28,sub_metering_1,0.0
2008-07-29,sub_metering_1,1571.0
2008-07-30,sub_metering_1,2548.0
2008-07-31,sub_metering_1,1533.0
2008-08-01,sub_metering_1,586.0
2008-08-02,sub_metering_1,0.0
2008-08-03,sub_metering_1,0.0
2008-08-04,sub_metering_1,596.0
2008-08-05,sub_metering_1,635.0
2008-08-06,sub_metering_1,0.0
2008-08-07,sub_metering_1,0.0
2008-08-08,sub_metering_1,0.0
2008-08-09,sub_metering_1,0.0
2008-08-10,sub_metering_1,0.0
2008-08-11,sub_metering_1,0.0
2008-08-12,sub_metering_1,0.0
2008-08-13,sub_metering_1,0.0
2008-08-14,sub_metering_1,0.0
2008-08-15,sub_metering_1,0.0
2008-08-16,sub_metering_1,0.0
2008-08-17,sub_metering_1,0.0
2008-08-18,sub_metering_1,0.0
2008-08-19,sub_metering_1,0.0
2008-08-20,sub_metering_1,0.0
2008-08-21,sub_metering_1,0.0
2008-08-22,sub_metering_1,0.0
2008-08-23,sub_metering_1,0.0
2008-08-24,sub_metering_1,0.0
2008-08-25,sub_metering_1,0.0
2008-08-26,sub_metering_1,0.0
2008-08-27,sub_metering_1,0.0
2008-08-28,sub_metering_1,0.0
2008-08-29,sub_metering_1,0.0
2008-08-30,sub_metering_1,0.0
2008-08-31,sub_metering_1,2056.0
2008-09-01,sub_metering_1,950.0
2008-09-02,sub_metering_1,4273.0
2008-09-03,sub_metering_1,1326.0
2008-09-04,sub_metering_1,2225.0
2008-09-05,sub_metering_1,379.0
2008-09-06,sub_metering_1,2948.0
2008-09-07,sub_metering_1,3612.0
2008-09-08,sub_metering_1,747.0
2008-09-09,sub_metering_1,236.0
2008-09-10,sub_metering_1,1009.0
2008-09-11,sub_metering_1,1005.0
2008-09-12,sub_metering_1,1867.0
2008-09-13,sub_metering_1,930.0
2008-09-14,sub_metering_1,4673.0
2008-09-15,sub_metering_1,960.0
2008-09-16,sub_metering_1,0.0
2008-09-17,sub_metering_1,1910.0
2008-09-18,sub_metering_1,4202.0
2008-09-19,sub_metering_1,1569.0
2008-09-20,sub_metering_1,0.0
2008-09-21,sub_metering_1,4010.0
2008-09-22,sub_metering_1,1014.0
2008-09-23,sub_metering_1,0.0
2008-09-24,sub_metering_1,2019.0
2008-09-25,sub_metering_1,1012.0
2008-09-26,sub_metering_1,1221.0
2008-09-27,sub_metering_1,4347.0
2008-09-28,sub_metering_1,1920.0
2008-09-29,sub_metering_1,1014.0
2008-09-30,sub_metering_1,998.0
2008-10-01,sub_metering_1,2249.0
2008-10-02,sub_metering_1,0.0
2008-10-03,sub_metering_1,4801.0
2008-10-04,sub_metering_1,3462.0
2008-10-05,sub_metering_1,990.0
2008-10-06,sub_metering_1,990.0
2008-10-07,sub_metering_1,1016.0
2008-10-08,sub_metering_1,1044.0
2008-10-09,sub_metering_1,1032.0
2008-10-10,sub_metering_1,0.0
2008-10-11,sub_metering_1,2144.0
2008-10-12,sub_metering_1,2561.0
2008-10-13,sub_metering_1,1037.0
2008-10-14,sub_metering_1,1177.0
2008-10-15,sub_metering_1,1998.0
2008-10-16,sub_metering_1,951.0
2008-10-17,sub_metering_1,2036.0
2008-10-18,sub_metering_1,799.0
2008-10-19,sub_metering_1,698.0
2008-10-20,sub_metering_1,844.0
2008-10-21,sub_metering_1,857.0
2008-10-22,sub_metering_1,662.0
2008-10-23,sub_metering_1,815.0
2008-10-24,sub_metering_1,7893.0
2008-10-25,sub_metering_1,737.0
2008-10-26,sub_metering_1,0.0
2008-10-27,sub_metering_1,0.0
2008-10-28,sub_metering_1,2263.0
2008-10-29,sub_metering_1,1037.0
2008-10-30,sub_metering_1,0.0
2008-10-31,sub_metering_1,0.0
2008-11-01,sub_metering_1,0.0
2008-11-02,sub_metering_1,0.0
2008-11-03,sub_metering_1,963.0
2008-11-04,sub_metering_1,0.0
2008-11-05,sub_metering_1,7597.0
2008-11-06,sub_metering_1,1033.0
2008-11-07,sub_metering_1,1032.0
2008-11-08,sub_metering_1,1114.0
2008-11-09,sub_metering_1,6301.0
2008-11-10,sub_metering_1,1023.0
2008-11-11,sub_metering_1,2475.0
2008-11-12,sub_metering_1,1066.0
2008-11-13,sub_metering_1,0.0
2008-11-14,sub_metering_1,2092.0
2008-11-15,sub_metering_1,3952.0
2008-11-16,sub_metering_1,4791.0
2008-11-17,sub_metering_1,0.0
2008-11-18,sub_metering_1,1079.0
2008-11-19,sub_metering_1,1737.0
2008-11-20,sub_metering_1,1034.0
2008-11-21,sub_metering_1,1039.0
2008-11-22,sub_metering_1,1093.0
2008-11-23,sub_metering_1,3631.0
2008-11-24,sub_metering_1,1063.0
2008-11-25,sub_metering_1,3010.0
2008-11-26,sub_metering_1,909.0
